self_employed,income,amount,property_area,loan_status
,5050.0,118.9,Suburb,Y
N,14583.0,185.6,Rural,Y
N,3167.0,154.3,Suburb,Y
N,2214.0,85.3,City,Y
N,5568.0,175.9,Rural,N
N,10408.0,259.4,City,Y
N,5667.0,180.5,Rural,Y
N,4166.0,44.6,Suburb,Y
N,2137.0,137.8,Suburb,Y
N,2957.0,81.6,Suburb,Y
N,4300.0,194.2,Rural,Y
N,3692.0,93.6,Rural,Y
N,23803.0,370.5,Rural,Y
Y,10513.0,160.5,City,N
N,6080.0,182.7,Rural,N
Y,20166.0,650.2,City,Y
N,2014.0,74.2,City,Y
N,2718.0,70.1,Suburb,Y
Y,3459.0,25.3,Suburb,Y
N,4895.0,102.0,Suburb,Y
N,4000.0,290.6,Suburb,N
N,4583.0,84.3,Rural,N
Y,3316.0,88.2,City,Y
N,14999.0,242.1,Suburb,N
N,4200.0,129.3,Rural,N
N,5042.0,185.2,Rural,N
N,5417.0,168.3,City,Y
Y,6950.0,175.5,Suburb,Y
N,2698.0,122.5,Suburb,Y
N,11757.0,187.8,City,Y
N,2330.0,101.0,Suburb,Y
N,14866.0,70.0,City,Y
N,1538.0,30.2,City,Y
N,10000.0,225.6,Rural,N
N,4860.0,125.2,Suburb,Y
N,6277.0,118.9,Rural,N
Y,2577.0,152.2,Rural,Y
N,9166.0,244.7,City,N
N,2281.0,113.7,Rural,N
N,3254.0,50.8,City,Y
N,39999.0,600.0,Suburb,Y
N,6000.0,160.2,Rural,Y
N,9538.0,187.7,City,Y
,2980.0,120.1,Rural,Y
N,4583.0,255.0,Suburb,Y
N,1863.0,98.4,Suburb,Y
N,7933.0,275.6,City,N
N,3089.0,121.1,Suburb,N
N,4167.0,158.1,Rural,Y
N,9323.0,75.0,City,Y
N,3707.0,182.4,Rural,Y
N,4583.0,112.7,Rural,N
N,2439.0,129.2,Rural,Y
N,2237.0,63.9,Suburb,N
N,8000.0,200.4,Suburb,Y
,1820.0,95.6,Rural,Y
N,51763.0,700.3,City,Y
N,3522.0,81.6,Rural,N
N,5708.0,188.0,Suburb,Y
Y,4344.0,87.4,Suburb,N
N,3497.0,116.2,Rural,Y
N,2045.0,101.4,Rural,Y
N,5516.0,495.4,Suburb,N
N,3750.0,116.5,Suburb,Y
N,2333.0,102.5,City,N
N,6400.0,180.0,City,N
N,1916.0,67.2,Rural,N
N,4600.0,73.5,Suburb,Y
N,33846.0,260.7,Suburb,N
N,3625.0,108.8,Suburb,Y
Y,39147.0,120.8,Suburb,Y
Y,2178.0,66.5,Rural,N
N,2383.0,59.0,Rural,Y
Y,674.0,168.3,Rural,Y
N,9328.0,188.5,Rural,Y
N,4885.0,48.7,Rural,Y
N,12000.0,164.9,Suburb,N
N,6033.0,160.4,City,N
N,3858.0,76.8,Suburb,Y
N,4191.0,120.4,Rural,Y
N,3125.0,170.7,Suburb,N
N,8333.0,187.0,Rural,Y
N,1907.0,120.0,City,Y
N,3416.0,113.9,Suburb,Y
Y,11000.0,83.1,City,N
N,2600.0,90.7,Suburb,Y
N,4923.0,166.3,Suburb,Y
N,3992.0,,City,N
N,3500.0,135.4,City,Y
N,3917.0,124.9,Suburb,Y
N,4408.0,120.6,Suburb,Y
N,3244.0,80.9,City,Y
N,3975.0,55.7,Rural,Y
N,2479.0,59.5,City,Y
N,3418.0,127.5,Suburb,N
N,10000.0,214.2,Suburb,N
N,3430.0,128.0,Suburb,N
Y,7787.0,240.4,City,Y
Y,5703.0,130.6,Rural,Y
N,3173.0,137.9,City,Y
N,3850.0,100.7,Suburb,Y
N,150.0,135.8,Rural,N
N,3727.0,131.9,Suburb,Y
,5000.0,72.9,Suburb,N
N,4283.0,127.8,Suburb,Y
N,2221.0,60.1,City,N
N,4009.0,116.3,Suburb,Y
N,2971.0,144.2,Suburb,Y
N,7578.0,175.9,Suburb,Y
N,6250.0,128.8,Suburb,Y
N,3250.0,170.3,Rural,N
Y,4735.0,138.6,City,N
N,6250.0,210.8,Suburb,Y
Y,6400.0,200.8,Rural,Y
N,2491.0,104.2,Suburb,Y
,3716.0,42.7,Rural,Y
N,3189.0,120.8,Rural,Y
N,8333.0,280.0,Suburb,Y
N,3155.0,140.1,Suburb,Y
N,5500.0,170.4,Rural,Y
,5746.0,255.2,City,N
Y,3463.0,122.9,City,Y
N,3812.0,112.7,Rural,Y
N,3315.0,96.7,Suburb,Y
N,5819.0,120.8,Rural,Y
N,2510.0,140.3,City,N
N,2965.0,155.2,City,Y
Y,6250.0,108.6,Rural,Y
N,3406.0,123.4,Suburb,Y
Y,6050.0,120.9,City,N
N,9703.0,112.6,City,Y
N,6608.0,137.4,City,Y
N,2882.0,123.9,Suburb,Y
N,1809.0,90.4,City,Y
N,1668.0,201.2,Suburb,N
N,3427.0,138.8,City,N
Y,2583.0,104.5,Rural,Y
N,2661.0,279.3,Suburb,Y
Y,16250.0,192.7,City,N
N,3083.0,256.0,Rural,Y
N,6045.0,115.2,Rural,N
N,5250.0,94.8,City,N
N,14683.0,304.8,Rural,N
N,4931.0,128.1,Suburb,N
N,6083.0,330.8,City,Y
N,2060.0,134.5,Suburb,Y
N,3481.0,155.1,Suburb,N
N,7200.0,120.5,Rural,Y
Y,5166.0,128.3,Suburb,Y
N,4095.0,151.2,Rural,Y
N,4708.0,150.1,Suburb,Y
N,4333.0,160.2,City,Y
,3418.0,135.4,Rural,N
N,2876.0,90.6,City,Y
N,3237.0,30.1,City,Y
N,11146.0,136.7,City,Y
N,2833.0,126.1,Rural,Y
N,2620.0,150.2,Suburb,Y
N,3900.0,90.7,Suburb,Y
N,2750.0,115.9,Suburb,Y
N,3993.0,208.0,Suburb,Y
N,3103.0,80.7,City,Y
N,14583.0,436.5,Suburb,Y
N,4100.0,124.1,Rural,Y
Y,4053.0,158.6,City,N
N,3927.0,112.2,Suburb,Y
N,2301.0,78.5,City,Y
N,1811.0,54.6,City,Y
N,20667.0,,Rural,N
N,3158.0,89.3,Rural,Y
Y,2600.0,100.0,Suburb,N
N,3704.0,121.0,Rural,Y
N,4124.0,115.8,Suburb,Y
N,9508.0,187.7,Rural,Y
N,3075.0,139.7,Rural,Y
N,4400.0,127.9,Suburb,N
N,3153.0,135.0,City,Y
N,5417.0,143.9,City,N
N,2383.0,172.6,Suburb,Y
,4416.0,110.1,City,Y
N,6875.0,200.6,Suburb,Y
N,4666.0,135.4,City,Y
N,5000.0,151.2,Rural,N
N,2014.0,113.9,City,N
N,1800.0,93.8,City,N
N,2875.0,105.5,Suburb,Y
N,5000.0,132.5,Rural,Y
N,1625.0,96.5,City,Y
N,4000.0,140.3,Rural,Y
N,2000.0,,City,N
N,3762.0,135.4,Rural,Y
N,2400.0,104.0,City,N
N,20233.0,480.9,Rural,N
N,7667.0,185.0,Rural,Y
N,2917.0,84.4,Suburb,Y
N,2927.0,111.1,Suburb,Y
N,2507.0,56.2,Rural,Y
Y,5746.0,144.9,Rural,Y
N,2473.0,159.4,Rural,N
N,3399.0,111.7,City,Y
N,3717.0,120.1,Suburb,Y
N,2058.0,88.3,City,Y
N,3541.0,112.9,Suburb,Y
Y,10000.0,155.9,Rural,N
N,2400.0,115.3,Suburb,Y
N,4342.0,125.0,Suburb,Y
N,3166.0,132.7,Rural,Y
N,15000.0,300.5,Rural,Y
Y,8666.0,376.4,Rural,N
N,4917.0,130.3,Rural,Y
Y,5818.0,185.0,Suburb,Y
N,4333.0,110.7,City,N
N,2500.0,67.5,City,Y
N,4384.0,117.0,City,Y
N,2935.0,98.2,Suburb,Y
N,2833.0,71.9,City,Y
,63337.0,490.6,City,Y
Y,9833.0,182.4,City,Y
Y,5503.0,70.0,Suburb,Y
,5250.0,160.3,Rural,Y
Y,2500.0,176.3,Rural,Y
N,1830.0,,City,N
N,4160.0,71.3,Suburb,Y
N,2647.0,173.2,Rural,N
N,2378.0,46.1,Rural,N
N,4554.0,158.1,City,Y
N,3173.0,74.5,Suburb,Y
,2583.0,125.1,Rural,Y
N,2499.0,160.9,Suburb,Y
N,3523.0,152.2,Rural,N
N,3083.0,126.5,City,Y
N,6333.0,259.4,Suburb,Y
N,2625.0,187.3,Rural,Y
N,9083.0,228.3,Suburb,Y
N,8750.0,308.2,Rural,N
N,2666.0,95.3,Rural,Y
Y,5500.0,105.1,Rural,N
N,2423.0,130.7,Suburb,Y
N,3813.0,116.6,City,Y
N,8333.0,165.3,Rural,Y
N,3875.0,67.9,City,N
N,3000.0,100.4,City,N
N,5167.0,200.6,Suburb,Y
N,4723.0,81.5,Suburb,N
N,5000.0,236.3,Suburb,Y
N,4750.0,130.9,City,Y
N,3013.0,95.8,City,Y
Y,6822.0,141.8,Rural,Y
N,6216.0,134.0,Rural,N
N,2500.0,96.0,Suburb,N
N,5124.0,124.5,Rural,N
N,6325.0,175.9,Suburb,Y
N,19730.0,570.1,Rural,N
Y,15759.0,55.2,Suburb,Y
N,5185.0,155.5,Suburb,Y
Y,9323.0,380.7,Rural,Y
N,3062.0,111.3,City,N
,2764.0,110.3,City,Y
N,4817.0,120.8,City,Y
N,8750.0,130.0,Rural,Y
N,4310.0,130.8,Suburb,Y
N,3069.0,71.4,City,N
N,5391.0,130.6,City,Y
,3333.0,128.7,Suburb,Y
N,5941.0,296.1,Suburb,Y
N,6000.0,156.9,City,Y
Y,7167.0,128.8,City,Y
N,4566.0,100.4,City,N
,3667.0,113.2,City,Y
N,2346.0,132.1,Suburb,Y
N,3010.0,,City,N
N,2333.0,136.7,City,Y
N,5488.0,125.8,Rural,Y
N,9167.0,185.3,Rural,Y
N,9504.0,275.2,Rural,Y
N,2453.0,100.3,City,Y
N,1993.0,114.0,Suburb,Y
N,3100.0,113.1,City,Y
N,3276.0,135.2,Suburb,Y
N,3180.0,71.7,City,N
N,3033.0,95.1,City,Y
N,3902.0,109.3,Rural,Y
N,1500.0,103.8,Suburb,N
N,2889.0,45.3,City,N
N,2755.0,65.6,Rural,N
N,2500.0,103.6,Suburb,Y
N,1963.0,53.3,Suburb,Y
Y,7441.0,194.2,Rural,N
N,4547.0,115.3,Suburb,Y
N,2167.0,115.9,City,Y
N,2213.0,66.0,Rural,Y
N,8300.0,152.1,Suburb,N
N,81000.0,360.3,Rural,N
Y,3867.0,62.2,Suburb,N
,6256.0,160.6,City,Y
N,6096.0,218.5,Rural,N
N,2253.0,110.5,Rural,Y
N,2149.0,178.3,Suburb,N
N,2995.0,60.5,City,Y
N,2600.0,160.8,City,N
Y,1600.0,239.8,City,N
N,1025.0,112.5,Rural,Y
N,3246.0,138.8,Suburb,Y
N,5829.0,138.0,Rural,Y
N,2720.0,80.2,City,N
N,1820.0,100.7,City,Y
N,7250.0,110.4,City,N
N,14880.0,96.3,Suburb,Y
N,2666.0,121.6,Rural,Y
N,4606.0,81.4,Rural,N
N,5935.0,133.9,Suburb,Y
N,2920.0,87.4,Rural,Y
N,2717.0,60.8,City,Y
Y,8624.0,150.6,Suburb,Y
N,6500.0,105.9,Rural,N
,12876.0,405.5,Suburb,Y
N,2425.0,144.0,Suburb,Y
N,3750.0,100.6,City,Y
N,1926.0,50.0,Suburb,Y
Y,10416.0,187.7,City,N
Y,7142.0,138.9,Rural,Y
N,3660.0,187.1,Suburb,Y
N,7901.0,181.0,Rural,Y
N,4707.0,148.6,Suburb,Y
N,37719.0,152.7,Suburb,Y
N,7333.0,175.2,Rural,Y
Y,3466.0,130.9,Rural,Y
N,4652.0,110.6,Rural,Y
,3539.0,55.5,Rural,N
N,3340.0,151.0,Rural,N
Y,2769.0,190.6,Suburb,N
N,2309.0,125.5,Rural,N
N,1958.0,60.0,City,Y
N,3948.0,149.5,Rural,N
N,2483.0,90.7,Rural,Y
Y,7085.0,84.4,Suburb,Y
N,3859.0,96.7,Suburb,Y
N,4301.0,118.6,City,Y
N,3708.0,173.2,City,N
N,4354.0,136.5,Rural,Y
N,8334.0,160.5,Suburb,N
Y,2083.0,160.3,Suburb,Y
N,7740.0,128.7,City,Y
N,3015.0,153.1,Rural,Y
,5191.0,132.4,Suburb,Y
N,4166.0,98.4,Suburb,N
N,6000.0,141.0,Rural,Y
N,2947.0,70.7,City,N
N,16692.0,110.6,Suburb,Y
,210.0,98.2,Suburb,Y
N,4000.0,120.4,City,N
Y,3450.0,162.4,Suburb,Y
N,2653.0,113.9,Rural,N
N,4691.0,100.5,Suburb,Y
Y,2500.0,93.9,City,Y
N,5532.0,162.7,Rural,Y
Y,16525.0,150.9,Rural,Y
N,6700.0,230.0,Suburb,Y
N,2873.0,132.9,Suburb,N
Y,16667.0,87.0,Suburb,Y
N,2947.0,,City,N
N,4350.0,154.1,Rural,Y
N,3095.0,113.3,Rural,Y
N,2083.0,128.6,Suburb,Y
N,10833.0,234.5,Suburb,Y
N,8333.0,246.4,Suburb,Y
N,1958.0,131.9,Rural,Y
N,3547.0,80.6,Rural,N
N,18333.0,500.9,City,N
Y,4583.0,160.6,Suburb,Y
N,2435.0,75.2,City,N
N,2699.0,97.0,Suburb,Y
N,5333.0,187.0,City,Y
N,3691.0,110.4,Rural,Y
Y,17263.0,225.8,Suburb,Y
N,3597.0,119.6,Rural,N
N,3326.0,105.2,Suburb,Y
N,2600.0,107.6,Rural,Y
N,4625.0,111.7,City,Y
Y,2895.0,95.6,Suburb,Y
N,6283.0,209.5,Rural,N
N,645.0,113.6,Rural,Y
N,3159.0,100.7,Suburb,Y
N,4865.0,208.8,Suburb,Y
N,4050.0,138.1,Rural,N
N,3814.0,124.9,Suburb,Y
N,3510.0,243.4,Rural,Y
N,20833.0,480.7,City,Y
N,3583.0,96.4,City,N
Y,2479.0,188.1,City,Y
N,13262.0,40.7,City,Y
N,3598.0,100.4,Rural,N
N,6065.0,250.6,Suburb,Y
N,3283.0,148.3,City,Y
N,2130.0,70.2,Suburb,N
N,5815.0,311.3,Rural,N
N,3466.0,150.8,Rural,Y
N,2031.0,113.9,Suburb,Y
N,3074.0,124.0,Suburb,N
N,4683.0,185.4,Suburb,N
N,3400.0,95.8,Rural,N
N,2192.0,45.2,Suburb,Y
N,2500.0,55.7,Suburb,Y
Y,5677.0,100.4,Rural,Y
Y,7948.0,480.8,Rural,Y
N,4680.0,,Suburb,N
Y,17500.0,400.8,Rural,Y
N,3775.0,110.1,Suburb,Y
N,5285.0,161.8,Suburb,Y
N,2679.0,94.4,Suburb,Y
N,6783.0,130.1,Suburb,Y
N,1025.0,216.3,Rural,Y
N,4281.0,100.7,City,Y
N,3588.0,110.4,Rural,N
N,11250.0,196.2,Suburb,N
Y,18165.0,125.2,City,Y
,2550.0,126.7,Rural,Y
N,6133.0,324.6,City,Y
N,3617.0,107.1,Suburb,Y
N,2917.0,66.8,Rural,N
N,6417.0,157.1,Rural,Y
N,4608.0,140.2,Suburb,Y
N,2138.0,99.0,Suburb,N
,3652.0,95.5,Suburb,Y
N,2239.0,128.9,City,Y
N,3017.0,102.9,Suburb,Y
N,2768.0,155.5,Rural,Y
N,3358.0,80.1,Suburb,N
N,2526.0,145.5,Rural,Y
N,5000.0,103.3,Suburb,N
N,2785.0,110.3,Rural,Y
Y,6633.0,,Rural,N
N,3333.0,159.0,City,Y
N,2454.0,181.4,City,N
N,3593.0,132.0,Rural,N
N,5468.0,26.5,Suburb,Y
N,2667.0,84.7,City,Y
Y,10139.0,260.8,Suburb,Y
N,3887.0,162.8,Suburb,Y
N,4180.0,182.7,Suburb,Y
N,3675.0,108.2,Suburb,Y
Y,19484.0,600.4,Suburb,Y
N,5923.0,211.5,Rural,Y
Y,5800.0,132.1,Suburb,Y
N,8799.0,258.4,City,N
N,4467.0,120.1,Rural,Y
N,3333.0,70.1,City,Y
N,3400.0,123.8,Rural,N
N,2378.0,9.2,City,N
N,3166.0,104.5,City,N
N,3417.0,186.6,City,Y
N,5116.0,165.9,City,N
N,16666.0,275.3,City,Y
N,6125.0,187.2,Suburb,N
N,6406.0,150.9,Suburb,N
N,3159.0,108.3,City,Y
N,3087.0,136.3,Suburb,N
N,3229.0,110.2,City,Y
N,1782.0,107.4,Rural,Y
,3182.0,161.2,City,Y
N,6540.0,205.4,Suburb,Y
N,1836.0,90.3,City,N
N,3166.0,36.6,Suburb,Y
N,1880.0,61.4,Rural,N
N,2787.0,146.7,Rural,N
N,4283.0,172.3,Rural,N
N,2297.0,104.3,City,Y
N,2165.0,71.0,Suburb,Y
N,4750.0,94.2,Suburb,Y
Y,2726.0,106.8,Suburb,N
N,3000.0,56.7,Suburb,Y
Y,6000.0,205.6,Suburb,N
Y,9357.0,292.1,Suburb,Y
N,3859.0,142.0,Rural,Y
Y,16120.0,260.7,City,Y
N,3833.0,110.1,Rural,Y
Y,6383.0,187.2,Rural,N
N,2987.0,89.0,Suburb,N
Y,9963.0,181.0,Rural,Y
N,5780.0,192.9,City,Y
,416.0,350.6,City,N
,2894.0,155.5,Rural,Y
N,5703.0,128.5,City,Y
N,3676.0,172.3,Rural,Y
N,12000.0,497.0,Suburb,Y
N,2400.0,,City,N
N,3400.0,174.0,Suburb,Y
N,3987.0,157.3,Rural,Y
N,3232.0,108.6,Rural,Y
N,4106.0,40.7,Rural,Y
N,8072.0,253.4,City,Y
N,7583.0,187.6,City,Y
Y,4583.0,133.2,Suburb,N
